Indus ID,Ref. No,District,Survey  Date,Site Category,Tower Type,Existing no Of Poles,Tower  Config,Tower Height,Normal,EB Phase,EB Availability (Hours),A/C-1(TR),Site  type,DG/NonDG,Static DG-Kva,Static  DG-Make,SMPS 1 Make,SMPS Module Capacity(W),No. of BB Connected to the SMPS,Opco Present,Tenancy,Final Telecom Load (in KW)
IN-1536193,RRL,Satara,2021-08-03,OD without DG,GBM,0,Tubular,30,Normal,1,20,Non AC,OD,Non DG,Non DG,Non DG,NexGen Emerson,4000,1,Airtel,1,0.9299
IN-1531535,RRL,Nagpur,2021-08-04,OD without DG,GBT,0,Tubular,40,Normal,3,17,Non AC,OD,Non DG,Non DG,Non DG,Emerson,4000,1,Airtel,1,1.0647
IN-1599398,RRL,Yavatmal,2021-08-04,OD without DG,GBM,0,Tubular,30,Normal,1,20,Non AC,OD,Non DG,Non DG,Non DG,NexGen Emerson,4000,1,Airtel,1,0.8704
IN-1536364,RRL,Satara,2021-08-04,OD without DG,GBT,0,Tubular,40,Normal,1,19,Non AC,OD,Non DG,Non DG,Non DG,Emerson,4000,1,Airtel,1,1.03835
IN-1536262,RRL,Satara,2021-08-04,OD without DG,GBT,0,Tubular,40,Normal,1,20,Non AC,OD,Non DG,Non DG,Non DG,Emerson,4000,1,Airtel,1,0.93245
IN-1632027,RRL,Satara,2021-08-04,OD without DG,GBT,0,Tubular,40,Normal,1,20,Non AC,OD,Non DG,Non DG,Non DG,Emerson,4000,1,Airtel,1,0.83985
IN-1472892,RRL,Wardha,2021-08-04,OD without DG,GBT,0,Angular,40,Normal,3,22,Non AC,OD,Non DG,Non DG,Non DG,NexGen Emerson,4000,1,Airtel,1,1.9145
IN-1531595,RRL,Yavatmal,2021-08-04,OD without DG,GBT,0,Tubular,40,Normal,3,18,Non AC,OD,Non DG,Non DG,Non DG,Emerson,4000,1,Airtel,1,1.2862
IN-1024316,RRL,Wardha,2021-08-04,ID+OD with 3TR,GBT,0,Angular,40,Normal,3,22,3,ID AC,DG,25,Mahindra,Delta,4000,1, Airtel VIL Reliance Jio,3,6.40133
IN-1582825,RRL,Nanded,2021-08-04,OD without DG,GBM,0,Tubular,30,Normal,3,18,Non AC,OD,Non DG,Non DG,Non DG,NexGen Emerson,4000,1,Airtel,1,0.918
IN-1550379,RRL,Nanded,2021-08-04,OD without DG,GBT,0,Tubular,40,Normal,1,18,Non AC,OD,Non DG,Non DG,Non DG,Emerson,4000,1,Airtel,1,0.929043
IN-1121465,RRL,Nanded,2021-08-04,Natural Cooling with DG,RTT,0,Angular,24,Hub,3,18,NCU,COD,DG,15,Kirloskar,IIPMS Delta,4000,1,VIL Reliance Jio,2,8.392281
IN-1086257,RRES,Dhule,2021-08-05,Natural Cooling with DG,GBT,0,Tubular,50,Normal,3,16,NCU,COD,DG,15,Ashok Leyland,Delta,4000,2,VIL BSNL Reliance Jio,3,6.716864
IN-1317592,RRES,Nandurbar,2021-08-05,OD with DG,GBM,0,Tubular,40,Normal,3,18,Non AC,OD,DG,15,Mahindra,IIPMS Delta,4000,1,VIL Reliance Jio,2,4.3026
IN-1531747,RRL,Amravati,2021-08-05,OD without DG,RTT,0,Angular,12,Normal,3,18,Non AC,OD,Non DG,Non DG,Non DG,NexGen Emerson,4000,1,Airtel,1,1.90156
IN-1093509,RRL,Nagpur,2021-08-05,ID+OD with 3.5TR,GBT,0,Tubular,50,Hub,3,22,3.5,ID AC,DG,25,Mahindra,IIPMS Delta,4000,1,VIL,1,1.82206
IN-1358458,RRL,Pune,2021-08-05,OD without DG,GBM,0,Tubular,40,Normal,3,22,Non AC,OD,Non DG,Non DG,Non DG,NexGen Emerson,4000,2,Airtel VIL,2,5.341
IN-1235431,RRL,Solapur,2021-08-05,FCU with DG,GBT,0,Angular,50,Normal,3,18,FCU,COD,DG,15,Kirloskar,Emerson,3200,2,Airtel VIL,2,5.68521
IN-1303189,RRES,Thane,2021-08-05,OD with DG,GBT,0,Angular,40,Normal,3,20,Non AC,OD,DG,15,Mahindra,NexGen Emerson,4000,1,VIL Reliance Jio,2,5.973
IN-1242648,RRES,Buldhana,2021-08-05,ID+OD with 3.76TR,GBT,0,Angular,50,Normal,3,20,3.76,ID AC,DG,15,Mahindra,Emerson,3200,2,VIL Reliance Jio,2,6.2472
IN-1342165,RRES,Nashik,2021-08-05,OD without DG,GBT,0,Angular,40,Normal,3,10,Non AC,OD,Non DG,Non DG,Non DG,NexGen Delta,4000,2,VIL,1,4.921312
IN-1054660,RRL,Pune City,2021-08-05,OD with DG,RTT RTP,3,Tubular,6 6,Hub,3,20,Non AC,OD,DG,15,Kirloskar,IIPMS Delta,4000,2,Airtel Reliance Jio,2,6.01287
IN-1135167,RRL,Ahmednagar,2021-08-05,FCU with DG,GBT,0,Angular,50,Hub,3,16,FCU,COD,DG,15,Mahindra,Delta,4000,1, Airtel VIL Reliance Jio,3,8.77472
IN-1281187,RRES,Ahmednagar,2021-08-05,OD with DG,GBT,0,Angular,50,Normal,3,16,Non AC,OD,DG,15,Mahindra,IIPMS Delta,4000,1,VIL,1,3.264
IN-1077756,RRES,Aurangabad,2021-08-05,FCU with DG,GBT,0,Angular,50,Normal,3,16,FCU,COD,DG,15,Kirloskar,Emerson,3200,1,VIL,1,3.77685
IN-1280073,RRES,Aurangabad,2021-08-05,OD with DG,GBT,0,Angular,50,Normal,3,16,Non AC,OD,DG,10,Kirloskar,NexGen Delta,4000,1,VIL Reliance Jio,2,7.63412
IN-1300629,RRES,Buldhana,2021-08-05,OD with DG,GBT,0,Angular,40,Normal,3,12,Non AC,OD,DG,15,Kirloskar,IIPMS Delta,4000,1,VIL,1,2.414028
IN-1055636,RRL,Yavatmal,2021-08-05,Natural Cooling with DG,RTT,0,Tubular,15,Normal,3,18,NCU,COD,DG,40,Eicher,IIPMS Delta,4000,2,Airtel VIL,2,5.809128
IN-1053560,RRES,Ahmednagar,2021-08-06,OD with DG,GBT,0,Tubular,40,Normal,3,16,Non AC,OD,DG,25,Mahindra,Delta,4000,2, Airtel VIL Reliance Jio,3,7.3902
IN-1052909,RRES,Chandrapur,2021-08-06,Natural Cooling with DG,GBT,0,Tubular,40,Hub,3,20,NCU,COD,DG,25,Kirloskar,Emerson,3200,2,VIL,1,4.11
IN-1300565,RRES,Thane,2021-08-06,OD with DG,GBT,0,Angular,40,Normal,3,20,Non AC,OD,DG,15,Mahindra,IIPMS Delta,4000,1,VIL,1,2.001615
IN-1300561,RRES,Thane,2021-08-06,OD with DG,GBT,0,Angular,40,Normal,3,20,Non AC,OD,DG,15,Mahindra,IIPMS Delta,4000,1,VIL BSNL,2,2.109576
IN-1092177,RRES,Nashik,2021-08-06,Natural Cooling with DG,GBT,0,Angular,50,Hub,3,18,NCU,COD,DG,15,Eicher,Emerson,3200,1,VIL,1,3.5425
IN-1092094,RRES,Aurangabad,2021-08-06,FCU with DG,GBT,0,Angular,50,Normal,3,20,FCU,COD,DG,25,Mahindra,Emerson,3200,2,VIL Reliance Jio,2,7.0632
IN-1280076,RRES,Jalna,2021-08-06,OD with DG,GBT,0,Angular,50,Normal,3,12,Non AC,OD,DG,15,Kirloskar,IIPMS Delta,4000,2,VIL Reliance Jio,2,7.35556
IN-1256814,RRES,Aurangabad,2021-08-06,Natural Cooling with DG,GBT,0,Angular,50,Normal,3,12,NCU,COD,DG,15,Kirloskar,NexGen Delta,4000,2,VIL,1,4.03925
IN-1285687,RRES,Nagpur,2021-08-06,OD with DG,COW,0,Angular,30,Normal,3,22,Non AC,OD,DG,15,Eicher,IIPMS Delta,4000,1,VIL Reliance Jio,2,6.034686
IN-1308721,RRES,Nagpur,2021-08-06,OD with DG,COW,0,Angular,30,Normal,3,22,Non AC,OD,DG,15,Mahindra,IIPMS Delta,4000,2,VIL Reliance Jio,2,6.11376
IN-1092315,RRES,Gondia,2021-08-06,Natural Cooling with DG,GBT,0,Angular,50,Normal,3,18,NCU,COD,DG,15,Kirloskar,Delta,4000,1,VIL,1,3.4398
IN-1305453,RRES,Raigad,2021-08-06,OD without DG,RTP,3,Tubular,9,Normal,3,20,Non AC,OD,Non DG,Non DG,Non DG,Delta,4000,1,VIL,1,2.5615
IN-1298261,RRES,Raigad,2021-08-06,OD with DG,GBT,0,Angular,40,Normal,3,20,Non AC,OD,DG,15,Mahindra,NexGen Emerson,4000,1,VIL Reliance Jio,2,4.698
IN-1249821,RRES,Parbhani,2021-08-06,FCU with DG,GBT,0,Angular,50,Normal,3,8,FCU,COD,DG,15,Kirloskar,Delta,4000,1,VIL Reliance Jio,2,5.214693
IN-1292949,RRES,Pune City,2021-08-06,Natural Cooling with DG,GBT,0,Angular,50,Normal,3,22,NCU,COD,DG,15,Mahindra,IIPMS Delta,4000,1,VIL Reliance Jio,2,4.811184
IN-1077714,RRES,Jalgaon,2021-08-06,Natural Cooling with DG,GBT,0,Angular,50,Normal,3,16,NCU,COD,DG,15,Eicher,Emerson,3200,2,VIL Reliance Jio,2,6.099
IN-1133669,RRES,Jalgaon,2021-08-06,Natural Cooling with DG,GBT,0,Angular,50,Normal,3,18,NCU,COD,DG,15,Mahindra,Delta,4000,2,VIL Reliance Jio,2,6.532152
IN-1282167,RRES,Gondia,2021-08-06,Natural Cooling with DG,GBT,0,Angular,40,Normal,3,20,NCU,COD,DG,15,Eicher,IIPMS Delta,4000,1,VIL,1,1.9494
IN-1070074,RRES,Gondia,2021-08-06,Natural Cooling with DG,GBT,0,Angular,40,Normal,3,20,NCU,COD,DG,15,Eicher,Emerson,3200,1,VIL,1,2.2464
IN-1305456,RRES,Raigad,2021-08-06,OD with DG,GBT,0,Angular,40,Normal,3,21,Non AC,OD,DG,15,Mahindra,NexGen Delta,4000,2,VIL Reliance Jio,2,7.88254
IN-1097396,RRES,Amravati,2021-08-06,Natural Cooling with DG,GBT,0,Angular,50,Normal,3,20,NCU,COD,DG,15,Mahindra,Delta,4000,2,VIL Reliance Jio,2,5.910534
IN-1284145,RRES,Hingoli,2021-08-06,OD with DG,GBT,0,Angular,40,Normal,3,16,Non AC,OD,DG,15,Mahindra,IIPMS Delta,4000,1,VIL Reliance Jio,2,6.530368
IN-1092047,RRES,Bhandara,2021-08-06,Natural Cooling with DG,GBT,0,Tubular,50,Normal,3,20,NCU,COD,DG,15,Eicher,IIPMS Delta,4000,1,VIL,1,4.7466
IN-1266333,RRES,Ahmednagar,2021-08-06,OD with DG,GBT,0,Angular,50,Normal,3,18,Non AC,OD,DG,15,Mahindra,Emerson,4000,2,VIL Reliance Jio,2,6.4908
IN-1330363,RRES,Ahmednagar,2021-08-06,OD without DG,GBT,0,Angular,40,Normal,3,16,Non AC,OD,Non DG,Non DG,Non DG,NexGen Emerson,4000,1,VIL,1,4.743
IN-1300219,RRES,Ahmednagar,2021-08-06,OD with DG,GBT,0,Angular,40,Normal,3,18,Non AC,OD,DG,15,Mahindra,IIPMS Delta,4000,1,VIL,1,6.021
IN-1071086,RRL,Nashik,2021-08-06,OD with DG,GBT,0,Tubular,50,Normal,3,18,Non AC,OD,DG,25,Mahindra,Delta,4000,2,VIL BSNL Reliance Jio,3,7.806824
IN-1297960,RRL,Nagpur,2021-08-06,OD without DG,GBM,0,Tubular,40,Normal,3,22,Non AC,OD,Non DG,Non DG,Non DG,IIPMS Delta,4000,2,VIL Reliance Jio,2,4.614914
IN-1092271,RRL,Gondia,2021-08-06,Natural Cooling with DG,GBT,0,Angular,50,Normal,3,20,NCU,COD,DG,15,Kirloskar,Emerson,3200,1,VIL Reliance Jio,2,6.615
IN-1100852,RRL,Thane,2021-08-06,Natural Cooling with DG,GBT,0,Angular,40,HUB,3,18,NCU,COD,DG,25,Eicher,Delta,4000,2, Airtel VIL Reliance Jio,3,6.94875
IN-1301814,RRL,South Goa,2021-08-06,OD without DG,RTP,2,Tubular,7.5 6,Normal,3,20,Non AC,OD,Non DG,Non DG,Non DG,Delta,4000,1,VIL Reliance Jio,2,5.33158
IN-1319163,RRL,Goa,2021-08-06,OD with DG,COW,0,Angular,30,Normal,Non EB,Non EB,Non AC,OD,DG,15,Eicher,IIPMS Delta,4000,1,VIL Reliance Jio,2,6.01063
IN-1297972,RRL,Pune,2021-08-07,OD with DG,GBT,0,Angular,40,Normal,3,22,Non AC,OD,DG,15,Eicher,IIPMS Delta,4000,2, Airtel VIL Reliance Jio,3,8.3304
IN-1237620,RRL,Goa,2021-08-07,Natural Cooling with DG,GBT,0,Angular,60,Normal,3,20,NCU,COD,DG,25,Kirloskar,Delta,4000,1,VIL BSNL Reliance Jio,3,6.75009
IN-1370026,RRL,Parbhani,2021-08-07,OD without DG,GBM,0,Tubular,30,Normal,3,12,Non AC,OD,Non DG,Non DG,Non DG,NexGen Delta,4000,1,Airtel,1,2.790758
IN-1248151,RRL,Parbhani,2021-08-07,Natural Cooling with DG,GBT,0,Angular,50,Normal,3,8,NCU,COD,DG,15,Mahindra,Delta,4000,2,VIL Reliance Jio,2,8.337768
IN-1286259,RRL,Dhule,2021-08-07,OD with DG,GBT,0,Angular,50,Normal,3,16,Non AC,OD,DG,15,Mahindra,NexGen Delta,4000,2,VIL Reliance Jio,2,5.384452
IN-1284287,RRL,Thane,2021-08-07,OD with DG,GBT,0,Angular,50,Normal,3,18,Non AC,OD,DG,15,Mahindra,IIPMS Delta,4000,2,VIL Reliance Jio,2,6.7303
IN-1024332,RRL,Thane,2021-08-07,Natural Cooling with DG,GBT,0,Angular,60,Hub,3,18,NCU,COD,DG,15,Kirloskar,NexGen Emerson,4000,1,VIL,1,3.00852
IN-1110574,RRL,Kolhapur,2021-08-07,OD with DG,GBT,0,Angular,50,Normal,3,18,Non AC,OD,DG,15,Mahindra,IIPMS Delta,4000,1,VIL Reliance Jio,2,5.31846
IN-1239441,RRL,Osmanabad,2021-08-07,Natural Cooling with DG,GBT,0,Angular,50,Normal,3,18,NCU,COD,DG,15,Mahindra,Emerson,3200,1,VIL,1,2.0128
IN-1106030,RRES,Beed,2021-08-07,Natural Cooling with DG,GBT,0,Angular,60,Normal,3,16,NCU,COD,DG,15,Eicher,IIPMS Delta,4000,1,VIL,1,3.53912
IN-1025295,RRES,Pune,2021-08-07,Natural Cooling with DG,RTT RTP,1,Tubular,156,Normal,3,22,NCU,COD,DG,15,Eicher,Delta,4000,2,VIL,1,4.221932
IN-1580851,RRL,Nanded,2021-08-07,OD without DG,GBM,0,Tubular,30,Normal,3,20,Non AC,OD,Non DG,Non DG,Non DG,NexGen Emerson,4000,1,Airtel,1,1.8288
IN-1246049,RRL,Pune City,2021-08-07,Natural Cooling with DG,GBT,0,Angular,50,Normal,3,20,NCU,COD,DG,15,Ashok Leyland,Delta,4000,1,VIL Reliance Jio,2,5.9454
IN-1783537,RRES,Pune,2021-08-07,OD without DG,RTT,0,Angular,12,Normal,1,22,Non AC,OD,Non DG,Non DG,Non DG,NexGen Delta,4000,1,Airtel,1,1.834782
IN-1297559,RRL,Goa,2021-08-07,OD with DG,COW,0,Angular,30,Normal,3,20,Non AC,OD,DG,15,Eicher,IIPMS Delta,4000,1,VIL,1,2.07586
IN-1253689,RRL,Buldhana,2021-08-07,Natural Cooling with DG,GBT,0,Angular,50,Normal,3,20,NCU,COD,DG,15,Eicher,Delta,4000,2,VIL Reliance Jio,2,6.2316
IN-1326584,RRES,Nashik,2021-08-08,OD with DG,RTT,0,Angular,15,Normal,3,18,Non AC,OD,DG,15,Mahindra,NexGen Emerson,4000,2,Airtel VIL BSNL,3,8.45376
IN-1310147,RRES,Dhule,2021-08-08,OD without DG,RTT,0,Angular,15,Normal,3,22,Non AC,OD,Non DG,Non DG,Non DG,Emerson,4000,1,VIL,1,4.25408
IN-1377970,RRES,Kolhapur,2021-08-08,OD without DG,GBM,0,Tubular,30,Normal,3,18,Non AC,OD,Non DG,Non DG,Non DG,NexGen Emerson,4000,1,Airtel,1,3.1978
IN-1247401,RRES,Satara,2021-08-08,Natural Cooling with DG,GBT,0,Angular,50,Normal,3,20,NCU,COD,DG,15,Mahindra,NexGen Emerson,4000,2,Airtel VIL,2,6.00045
IN-1124613,RRES,Nagpur,2021-08-08,Natural Cooling with DG,RTP,6,Tubular,6,Normal,3,22,NCU,COD,DG,25,Mahindra,Emerson,3200,1,Airtel,1,3.0834
IN-1253700,RRES,Yavatmal,2021-08-08,Natural Cooling with DG,GBT,0,Angular,50,Hub,3,12,NCU,COD,DG,15,Mahindra,Delta,4000,2,VIL Reliance Jio,2,6.1506
IN-1054621,RRES,Latur,2021-08-08,ID+OD with 3.76TR,RTT,0,Angular,18,Hub,3,18,3.76,ID AC,DG,25,Eicher,NexGen Delta,4000,2,Airtel,1,4.60525
IN-1070067,RRL,Washim,2021-08-08,Natural Cooling with DG,GBT,0,Angular,60,Normal,3,18,NCU,COD,DG,15,Kirloskar,NexGen Delta,4000,1,VIL Reliance Jio,2,7.5908
IN-1375745,RRES,Nashik,2021-08-09,OD without DG,RTP,3,Tubular,6,Normal,3,18,Non AC,OD,Non DG,Non DG,Non DG,NexGen Emerson,4000,1,Airtel,1,3.4432
IN-1387905,RRES,Nashik,2021-08-09,OD without DG,RTP,3,Tubular,6,Normal,3,18,Non AC,OD,Non DG,Non DG,Non DG,NexGen Emerson,4000,1,Airtel,1,1.7886
IN-1367659,RRES,Nashik,2021-08-09,OD without DG,RTT,0,Angular,12,Normal,3,18,Non AC,OD,Non DG,Non DG,Non DG,NexGen Emerson,4000,1,Airtel,1,1.21656
IN-1321174,RRL,Nashik,2021-08-09,OD with DG,GBT,0,Angular,50,Normal,3,18,Non AC,OD,DG,15,Mahindra,IIPMS Delta,4000,1,VIL Reliance Jio,2,6.275252
IN-1304348,RRL,Dhule,2021-08-09,OD with DG,GBT,0,Angular,50,Normal,3,16,Non AC,OD,DG,15,Eicher,IIPMS Delta,4000,1,VIL Reliance Jio,2,5.337508
IN-1271630,RRL,Nandurbar,2021-08-09,OD with DG,GBT,0,Angular,50,Normal,3,16,Non AC,OD,DG,15,Eicher,IIPMS Delta,4000,1,VIL BSNL Reliance Jio,3,5.3406
IN-1253619,RRL,Nandurbar,2021-08-09,Natural Cooling with DG,GBT,0,Angular,50,Normal,3,18,NCU,COD,DG,15,Mahindra,Delta,4000,1,VIL Reliance Jio,2,5.59886
IN-1300124,RRL,Thane,2021-08-09,OD with DG,GBT,0,Angular,40,Normal,3,18,Non AC,OD,DG,15,Mahindra,IIPMS Delta,4000,2,VIL Reliance Jio,2,6.498226
IN-1243714,RRL,Yavatmal,2021-08-09,Natural Cooling with DG,GBT,0,Angular,50,Normal,3,18,NCU,COD,DG,25,Kirloskar,Emerson,3200,1,VIL,1,4.268
IN-1255660,RRL,Yavatmal,2021-08-09,OD with DG,GBT,0,Angular,50,Normal,3,18,Non AC,OD,DG,15,Mahindra,Emerson,3200,1,VIL Reliance Jio,2,5.69568
IN-1283459,RRES,Sangli,2021-08-09,OD with DG,GBT,0,Angular,50,Normal,3,18,Non AC,OD,DG,15,Mahindra,IIPMS Delta,4000,2,VIL Reliance Jio,2,6.525616
IN-1300630,RRL,Dhule,2021-08-09,OD with DG,GBT,0,Angular,40,Normal,3,18,Non AC,OD,DG,15,Mahindra,IIPMS Delta,4000,1,VIL BSNL Reliance Jio,3,7.83978
IN-1071103,RRL,Nandurbar,2021-08-09,Natural Cooling with DG,GBT,0,Tubular,50,Normal,3,16,NCU,COD,DG,25,Mahindra,NexGen Emerson,4000,2,VIL Reliance Jio,2,6.77435
IN-1270207,RRL,Sangli,2021-08-09,OD with DG,GBT,0,Angular,40,Normal,3,20,Non AC,OD,DG,15,Mahindra,IIPMS Delta,4000,1,VIL,1,2.278701
IN-1097426,RRL,Jalna,2021-08-09,Natural Cooling with DG,GBT,0,Angular,50,Normal,3,15,NCU,COD,DG,25,Mahindra,Emerson,3200,1,VIL Reliance Jio,2,5.4805
IN-1024183,RRL,Goa,2021-08-09,Natural Cooling with DG,GBT,0,Angular,40,Normal,3,20,NCU,COD,DG,40,Mahindra,Delta,4000,2,VIL BSNL Reliance Jio,3,7.511055
IN-1283093,RRL,Nanded,2021-08-09,OD with DG,GBT,0,Angular,40,Normal,3,18,Non AC,OD,DG,15,Mahindra,IIPMS Delta,4000,2,VIL Reliance Jio,2,5.68277
IN-1097442,RRL,Yavatmal,2021-08-09,Natural Cooling with DG,GBT,0,Angular,50,Normal,3,18,NCU,COD,DG,15,Mahindra,Emerson,3200,1,VIL Reliance Jio,2,5.913
IN-1092180,RRL,Chandrapur,2021-08-09,Natural Cooling with DG,GBT,0,Angular,70,Normal,3,20,NCU,COD,DG,25,Mahindra,Emerson,3200,1,VIL,1,5.2283
IN-1106094,RRL,Beed,2021-08-09,Natural Cooling with DG,GBT,0,Angular,40,Normal,3,8,NCU,COD,DG,15,Kirloskar,Emerson,3200,1,VIL,1,2.07168
IN-1288892,RRL,Pune,2021-08-09,OD with DG,GBT,0,Angular,40,Normal,3,16,Non AC,OD,DG,15,Eicher,IIPMS Delta,4000,1,VIL Reliance Jio,2,4.550154
IN-1093865,RRL,Ratnagiri,2021-08-09,FCU with DG,GBT,0,Angular,60,Normal,3,21,FCU,COD,DG,15,Mahindra,Emerson,3200,2,Reliance Jio,1,3.4146
IN-1231731,RRL,Nandurbar,2021-08-09,OD with DG,GBT,0,Tubular,50,Normal,3,18,Non AC,OD,DG,25,Mahindra,IIPMS Delta,4000,2,Airtel VIL,2,4.346433
IN-1024395,RRL,Wardha,2021-08-09,ID+OD with 3.76TR,GBT,0,Angular,60,Hub,3,22,3.76,ID AC,DG,40,Mahindra,Delta,4000,2,Airtel VIL BSNL,3,13.581102
IN-1118357,RRL,Yavatmal,2021-08-09,Natural Cooling with DG,GBT,0,Angular,50,Normal,3,20,NCU,COD,DG,25,Mahindra,Emerson,3200,1,VIL,1,3.4125
IN-1092117,RRL,Yavatmal,2021-08-09,Natural Cooling with DG,GBT,0,Angular,50,Normal,3,20,NCU,COD,DG,25,Mahindra,Delta,4000,2,VIL Reliance Jio,2,5.898672
IN-1092127,RRL,Yavatmal,2021-08-09,Natural Cooling with DG,GBT,0,Tubular,50,Normal,3,20,NCU,COD,DG,15,Eicher,Emerson,3200,1,VIL Reliance Jio,2,6.758
IN-1300976,RRES,Sindhudurg,2021-08-09,OD with DG,GBT,0,Angular,40,Normal,3,18,Non AC,OD,DG,15,Eicher,IIPMS Delta,4000,1,VIL,1,3.68832
IN-1366835,RRES,Jalna,2021-08-09,OD without DG,RTT,0,Angular,12,Normal,3,24,Non AC,OD,Non DG,Non DG,Non DG,NexGen Emerson,4000,1,Airtel,1,3.40016
IN-1024172,RRES,Yavatmal,2021-08-09,Natural Cooling with DG,GBT,0,Angular,40,Normal,3,20,NCU,COD,DG,15,Eicher,Emerson,3200,1,VIL BSNL,2,2.48775
IN-1366129,RRES,Sangli,2021-08-09,OD without DG,RTP,4,Tubular,6,Normal,3,20,Non AC,OD,Non DG,Non DG,Non DG,NexGen Delta,4000,1,Airtel,1,1.825866
IN-1365854,RRES,Pune City,2021-08-09,OD without DG,Wall Mount,4,Tubular,3,Normal,3,22,Non AC,OD,Non DG,Non DG,Non DG,NexGen Emerson,4000,1,Airtel,1,2.2626
IN-1382916,RRES,Pune City,2021-08-09,OD without DG,RTP,3,Tubular,9,Normal,3,22,Non AC,OD,Non DG,Non DG,Non DG,NexGen Emerson,4000,1,Airtel,1,1.71904
IN-1254014,RRL,Parbhani,2021-08-10,OD with DG,GBT,0,Angular,50,Normal,3,8,Non AC,OD,DG,15,Mahindra,IIPMS Delta,4000,2, Airtel VIL Reliance Jio,3,7.875315
IN-1123791,RRL,Nashik,2021-08-10,OD with DG,GBT,0,Angular,50,Normal,3,18,Non AC,OD,DG,15,Kirloskar,Delta,4000,2,VIL Reliance Jio,2,5.08485
IN-1258371,RRL,Satara,2021-08-10,OD with DG,GBT,0,Angular,50,Normal,3,16,Non AC,OD,DG,10,Mahindra,Emerson,3200,1,VIL,1,2.8938
IN-1263259,RRES,Raigad,2021-08-10,Natural Cooling without DG,RTT,0,Angular,18,Normal,3,20,NCU,COD,Non DG,Non DG,Non DG,IIPMS Delta,4000,1,Airtel,1,2.267828
IN-1378206,RRES,Sangli,2021-08-10,OD without DG,RTT,0,Angular,18,Normal,1,18,Non AC,OD,Non DG,Non DG,Non DG,NexGen Emerson,4000,1,Airtel,1,1.641
IN-1390891,RRES,Pune City,2021-08-10,OD without DG,GBM,0,Tubular,30,Normal,3,22,Non AC,OD,Non DG,Non DG,Non DG,NexGen Delta,4000,1,Airtel,1,1.789832
IN-1350063,RRES,Jalgaon,2021-08-10,OD without DG,RTT,0,Angular,18,Normal,3,20,Non AC,OD,Non DG,Non DG,Non DG,NexGen Delta,4000,1,Airtel,1,0.950844
IN-1382694,RRES,Latur,2021-08-10,OD without DG,RTT,0,Angular,12,Normal,3,20,Non AC,OD,Non DG,Non DG,Non DG,NexGen Emerson,4000,1,Airtel,1,2.5466
IN-1302463,RRES,Latur,2021-08-10,OD without DG,GBT,0,Angular,40,Normal,3,18,Non AC,OD,Non DG,Non DG,Non DG,IIPMS Delta,4000,2,Airtel VIL BSNL,3,9.503396
